City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
193,bubaque,GW,2023-11-13 13:56:27,11.2833,-15.8333,7,71,83.62400000000002,5.63
194,savannakhet,LA,2023-11-13 13:56:27,16.566,104.751,58,73,72.87799999999996,7.1
195,ghat,LY,2023-11-13 13:56:27,24.9647,10.1728,0,31,69.51199999999996,2.78
196,andergrove,AU,2023-11-13 13:56:28,-21.0833,149.1833,6,67,69.90800000000002,1.33
197,arraial do cabo,BR,2023-11-13 13:56:28,-22.9661,-42.0278,75,89,84.434,5.14
198,rosario del tala,AR,2023-11-13 13:56:28,-32.3029,-59.1455,100,73,65.48000000000005,5.24
199,kruisfontein,ZA,2023-11-13 13:56:28,-34.0033,24.7314,87,82,56.53399999999999,3.66
200,chernyshevskiy,RU,2023-11-13 13:56:28,63.0128,112.4714,100,96,10.688000000000045,2.52
201,altay,CN,2023-11-13 13:56:28,47.8667,88.1167,100,93,26.491999999999997,1.01
202,miyazu,JP,2023-11-13 13:56:28,35.5333,135.1833,99,83,47.04800000000002,1.74
203,nantucket,US,2023-11-13 13:56:29,41.2835,-70.0995,75,65,45.01400000000003,3.6
204,qaqortoq,GL,2023-11-13 13:56:29,60.7167,-46.0333,100,96,21.596000000000046,1.11
205,semporna,MY,2023-11-13 13:56:29,4.4818,118.6112,86,86,79.08800000000005,1.96
206,diu,IN,2023-11-13 13:56:29,20.7141,70.9822,100,34,77.32400000000001,3.96
207,kerikeri,NZ,2023-11-13 13:54:43,-35.2268,173.9474,77,86,65.174,4.02
208,yanqul,OM,2023-11-13 13:56:29,23.5905,56.5501,71,28,69.11600000000001,0.96
209,enewetak,MH,2023-11-13 13:56:29,11.3474,162.3373,94,80,83.174,8.75
210,kandahar,AF,2023-11-13 13:56:30,31,65.75,0,34,54.35600000000003,1.03
211,faya-largeau,TD,2023-11-13 13:56:30,17.9257,19.1043,49,16,81.82400000000001,8.4
212,albertina,BR,2023-11-13 13:56:30,-22.2008,-46.6158,62,45,82.27400000000002,2.1
213,cargados carajos,,,,,,,,
214,campo grande,BR,2023-11-13 13:56:30,-20.4428,-54.6464,40,32,98.41999999999996,6.69
215,tweed heads,AU,2023-11-13 13:56:30,-28.1817,153.547,100,78,72.26600000000002,0
216,kodinsk,RU,2023-11-13 13:56:31,58.6881,99.1844,100,98,33.70999999999998,4.16
217,smithers,CA,2023-11-13 13:56:31,54.7804,-127.1743,75,93,34.39399999999997,1.54
218,maevatanana,,,,,,,,
219,pasighat,IN,2023-11-13 13:56:31,28.0667,95.3333,0,49,63.158,1.6
220,kon tum,VN,2023-11-13 13:56:31,14.35,108,95,84,72.10399999999996,2.09
221,hithadhoo,MV,2023-11-13 13:56:31,-0.6,73.0833,51,81,81.71600000000001,4.3
222,laojunmiao,CN,2023-11-13 13:56:31,39.8333,97.7333,55,39,30.398000000000025,3.7
223,tsiombe,MG,2023-11-13 13:56:32,-25.3,45.4833,100,79,70.62799999999996,1.84
224,san andres,CO,2023-11-13 13:56:32,12.5847,-81.7006,40,84,84.48800000000006,3.09
225,st. john's,CA,2023-11-13 13:54:32,47.5649,-52.7093,100,81,33.242,2.06
226,iskateley,RU,2023-11-13 13:56:32,67.6803,53.1512,100,97,8.293999999999972,3.58
227,muzayri',,,,,,,,
228,shubarshi,KZ,2023-11-13 13:56:32,48.5872,57.1869,100,71,42.25999999999998,8.32
229,rocha,UY,2023-11-13 13:56:33,-34.4833,-54.3333,100,84,58.658,4.49
230,karymskoye,RU,2023-11-13 13:56:33,51.6167,114.35,45,95,8.941999999999997,1.53
231,kodiak,US,2023-11-13 13:56:33,57.79,-152.4072,0,42,42.58399999999999,7.72
232,westport,US,2023-11-13 13:56:33,41.1415,-73.3579,75,64,48.16400000000003,3.09
